id,phrase,phrase_ja,phrase_part1,phrase_part2,phrase_part3,phrase_part4,file_name,lesson_id
23,Only dogs and cats in the cage can ride a specified vehicle.,ケージに入れた犬・猫に限り、特定の車種に同乗することができます。,only dogs and cats in,the cage,can ride a,specified vehicle,sound_phrase_023.mp3,2
24,Please pay 540 yen per one rental as fee of riding with pets.,同乗料金として、1貸し出しあたり540円をお支払いください。,please pay 540 yen,per one rental,as fee of,riding with pets,sound_phrase_024.mp3,2
25,"Wi-Fi,ETC,SIM card reserved through ToCoo! are delivered to appointed post office or accommodation.",Tocoo!で予約したWi-Fi、ETC・SIMカードは、お客様が指定した郵便局、または宿泊施設に発送されます。,"Wi-Fi,ETC,SIM card reserved",through ToCoo! are delivered,to appointed post office,or accommodation,sound_phrase_025.mp3,3
26,Please check your registered E-mail inbox for delivery notification to confirm delivery address.,Tocoo!から届いたメールに記載されている発送先住所をご確認ください。,please check,your registered E-mail inbox,for delivery notification,to confirm delivery address,sound_phrase_026.mp3,3
27,"If you have any questions, please contact to ToCoo! directly by yourself.",お問い合わせがある方は、お客様ご自身で直接Tocoo!に問い合わせてください。,if you have,"any questions, please",contact to ToCoo!,directly by yourself,sound_phrase_027.mp3,3
28,You can (not) buy SIM card at this outlet.,当店ではSIMカードの販売を行なっております。（おりません）,you can (not),buy,SIM card at,this outlet,sound_phrase_028.mp3,3
29,Please make sure applicable condition carefully by yourself before purchase.,購入前にお客様ご自身で適用条件を十分にご確認ください。,please make sure,applicable condition,carefully by,yourself before purchase,sound_phrase_029.mp3,3
30,Any return or exchange won't be accepted after the package has been opened.,パッケージ開封後の返品交換はいたしません。,any return or exchange,won't be accepted after,the package,has been opened,sound_phrase_030.mp3,3
31,We can lend an ETC card and please pay 324 yen as rental fee.,当店はETCカードの貸出を行なっており、レンタル代として324円お支払いください。,we can lend an,ETC card and please,pay 324 yen as,rental fee,sound_phrase_031.mp3,3
32,"If you want to drop off the vehicle, we can't lend an ETC card for you.",乗り捨てをご希望の場合、ETCカードの貸し出しはできません。,if you want to drop,"off the vehicle, we can't",lend an ETC,card for you,sound_phrase_032.mp3,3
33,"If you rent an ETC card, you must return to same outlet you've started.",ETCカードを借りた場合、出発した店舗へ必ず返却してください。,if you rent,"an ETC card, you must",return to same outlet,you've started,sound_phrase_033.mp3,3
34,Please pay the toll charge when you return to the outlet.,高速道路の利用料金は返却時にお支払いください。,please pay the,toll charge when you,return to,the outlet,sound_phrase_034.mp3,3
35,"We're sorry, but we can't offer optional equipment.",申し訳ありませんがご希望の備品はご用意できません。,"we're sorry, but",we can't,offer,optional equipment,sound_phrase_035.mp3,3
36,All car insurances are included in this fee. Is this all right with you?,補償料込みでこちらのお値段ですが、よろしいでしょうか？,all car insurances,are included in this fee,is this all,right with you?,sound_phrase_036.mp3,3
37,May I see your international driving permit and your passport?,国際免許証とパスポートの提示をお願いします。,may I,see your,international driving permit ,and your passport?,sound_phrase_037.mp3,4
38,"May I see your driver's license, passport and the Japanese translation?",運転免許証とパスポート、日本語の翻訳文の提示をお願いします。,may I,"see your driver's license,",passport and,the Japanese translation?,sound_phrase_038.mp3,4
39,You are not allowed to drive a car in Japan.,あなたは日本で車を運転することができません。,you are,not allowed to,drive a car,in Japan,sound_phrase_039.mp3,4
40,Because your international driving permit is issued by the Vienna convention.,ウィーン条約加盟国発行の運転免許証だからです。,because your,international driving permit,is issued by,the Vienna convention,sound_phrase_040.mp3,4
41,"Because your driver's license requires the Japanese translation, but you don't have it.",日本語の翻訳文をお持ちでないためです。,because your,driver's license requires,"the Japanese translation,",but you don't have it,sound_phrase_041.mp3,4
42,Because your driver's license has expired.,運転免許証の有効期限が切れているためです。,because your,driver's license,has,expired,sound_phrase_042.mp3,4
43,You're not allowed to drive a 10-seater vehicle.,あなたは10名乗りの車両は運転できません。,you're,not allowed,to drive,a 10-seater vehicle,sound_phrase_043.mp3,4
44,Because you don't have the stamp in category D in your international driving permit.,国際免許証に正しい『Ｄ』のスタンプが押されていないためです。,because you don't,have the stamp,in category D,in your international driving permit,sound_phrase_044.mp3,4
45,Because you have been in Japan more than one year from your date of entry.,入国してから1年以上経過しているためです。,because you have,been in Japan more than,one year from,your date of entry,sound_phrase_045.mp3,4
46,Because your driver's license is not valid in Japan.,あなたの運転免許証は日本での運転が許可されていないためです。,because,your driver's license,is not valid,in Japan,sound_phrase_046.mp3,4
47,Are you a visitor of Japan?,日本へのご旅行ですか？,are you ,a visitor,of,Japan?,sound_phrase_047.mp3,4
48,May I take a copy of your driver's license?,免許証はコピーをいただいておりますがよろしいでしょうか？,may I,take,a copy of your,driver's license?,sound_phrase_048.mp3,4
49,Please let me know the pronunciation of your name.,名前の発音を教えてください。,please let me,know,the pronunciation of,your name,sound_phrase_049.mp3,4
50,Thank you for showing your international driving permit and passport.,免許証・パスポートのご提示ありがとうございました。,thank you for,showing your,international driving permit and,passport,sound_phrase_050.mp3,4
51,Please inform us in advance if you want to extend the contract period.,利用期間を延長したい場合は、事前に店舗までご連絡ください。,please inform us,in advance if you,want to extend,the contract period,sound_phrase_051.mp3,5
52,Please contact outlet immediately if you have any trouble or accident with the car.,車両トラブルや事故発生時にはすぐに店舗に連絡をお願い致します。,please contact,outlet immediately if,you have any trouble or,accident with the car,sound_phrase_052.mp3,5
53,"Outside of business hours, please call an accident reception center.",営業時間外の場合は、お手数ですが事故受付センターへお電話ください。,outside of business,"hours, please",call an accident,reception center,sound_phrase_053.mp3,5
54,Kansai Airport outlet run from eight a.m. to nine p.m. opening hours.,関西空港店は午前8時から午後9時まで営業しています。,Kansai Airport outlet,run from,eight a.m. to,nine p.m. opening hours,sound_phrase_054.mp3,5
55,Tokyo Station Yaesuguchi outlet is around-the clock service.,東京駅八重洲口店は24時間営業しています。,Tokyo Station,Yaesuguchi outlet is,around-the clock,service,sound_phrase_055.mp3,5
56,"From November1st to March 31st, Hakodate Airport outlet run from eight a.m. to seven p.m.",函館空港店は11月1日から3月31日までの間、午前8時から午後7時までの営業時間となります。,from November1st,"to March 31st,Hakodate",Airport outlet run from,eight a.m. to seven p.m,sound_phrase_056.mp3,5
57,Chofu Station SouthExit outlet run from eight a.m. to ten p.m. on weekend and public holiday.,土・日・祝日について、調布駅南口店は朝8時から夜10時まで営業しています。,Chofu Station SouthExit outlet,run from eight a.m. to,ten p.m. on weekend,and public holiday,sound_phrase_057.mp3,5
58,An ETC system is for paying toll by using card which credit card company issues. ,ETCシステムは、クレジットカード会社が発行するカードを使用し、高速道路料金を支払うものです。,an ETC system is,for paying toll,by using card which,credit card company issues,sound_phrase_058.mp3,5
59,Our company does not offer rental service of ETC card except for some outlets.,当社では幾つかの店舗を除き通常ETCカードのご提供は致しておりません。,our company,does not offer rental service,of ETC card except,for some outlets,sound_phrase_059.mp3,5
60,Vehicles not equipped with ETC equipment and card can't use the ETC lane.,ETCカードを機器に挿入していない場合、ETCレーンを利用することはできません。,vehicles not,equipped with ETC equipment,and card can't,use the ETC lane,sound_phrase_060.mp3,5
61,You may cause accident if you use the ETC lane.,もしETCレーンを利用した場合、事故につながる危険があります。,you may cause,accident if you,use the,ETC lane,sound_phrase_061.mp3,5
62,It would not work even you insert your own credit card into ETC equipment.,ETC機器にご自身のクレジットカードを挿入しても機能しません。,it would not work,even you insert,your own credit card,into ETC equipment,sound_phrase_062.mp3,5
63,The Road Traffic Act prohibits parking in certain areas.,道路交通法により、法令で定められた一定の場所での駐車は禁止されています。,the Road Traffic Act,prohibits,parking in,certain areas,sound_phrase_063.mp3,6
64,A yellow rectangular sticker is a ticket for illegal parking.,黄色い縦長のステッカーは違法駐車の切符です。,a yellow,rectangular sticker is,a ticket,for illegal parking,sound_phrase_064.mp3,6
65,"In the middle of the ticket, the police station's name and phone number are written.",その違反切符の中ほどに、警察署名と電話番号が書かれています。,in the middle of,"the ticket, the police",station's name,and phone number are written,sound_phrase_065.mp3,6
66,You must pay the fine before your returning and show us certificate of payment.,違反金は車両返却までにお支払いいただき、支払いの証明書をご提示ください。,you must,pay the fine before,your returning and show,us certificate of payment,sound_phrase_066.mp3,6
67,You can pay the fine at the designated financial institution or post office.,指定の金融機関または郵便局で違反金をお支払いください。,you can pay,the fine at,the designated financial institution,or post office,sound_phrase_067.mp3,6
68,"In some prefectures, you can pay the fine at the convenience store.",一部の都道府県ではコンビニエンスストアでも違反金の支払いが可能です。,in some,"prefectures, you can",pay the fine,at the convenience store,sound_phrase_068.mp3,6
69,You must pay a penalty if you couldn't pay the fine before returning.,違反金を納付せずに返却された場合は、違約金をお支払いいただきます。,you must pay,a penalty if you,couldn't pay,the fine before returning,sound_phrase_069.mp3,6
70,"When you departure, the gas is full. Please fill up when you return the outlet. ",出発時、燃料は満タンですので満タンにしてご返却ください。,"when you departure,",the gas is full. Please,fill up when,you return the outlet,sound_phrase_070.mp3,7
71,You also can pay fuel charge based on the distance driven instead of filling up.,満タン給油ではなく、走行距離に応じて燃料代をお支払いいただくことも可能です。,you also can,pay fuel charge based,on the distance driven,instead of filling up,sound_phrase_071.mp3,7
72,The fuel charge based on the distance driven would be more expensive than a market price.,走行距離換算の場合の燃料代は通常給油よりも料金が高くなります。,the fuel charge,based on the distance driven,would be more expensive,than a market price,sound_phrase_072.mp3,7
73,We calculate fuel charge for 15 yen without tax per one kilometer on this vehicle.,この車両では１キロあたり税抜き15円で燃料代を計算します。,we calculate fuel charge,for 15 yen without tax,per one kilometer on,this vehicle,sound_phrase_073.mp3,7
74,The fuel type for this vehicle is regular/premium gasoline/light oil.,この車の油種はレギュラー／ハイオク／軽油です。,the fuel,type for this vehicle,is regular/,premium gasoline/light oil,sound_phrase_074.mp3,7
75,"Filling wrong type of fuel is very dangerous. Your car mightn't move, if you did.",異なる油種の給油は大変危険ですので絶対にしないでください。車が動かなくなることがあります。,filling wrong,type of fuel is,very dangerous. Your car,"mightn't move, if you did",sound_phrase_075.mp3,7
76,You can tell the kind of fuel by the color of nozzle.,給油すべき油種はスタンドのノズルの色で判別できます。,you can,tell the kind ,of fuel by,the color of nozzle,sound_phrase_076.mp3,7
77,"The red is regular, the yellow is premium gasoline and the green is light oil.",赤はレギュラー、黄色はハイオク、緑は軽油です。,"the red is regular,",the yellow is,premium gasoline and the green,is light oil,sound_phrase_077.mp3,7
78,"If you filled wrong fuel and the vehicle broke, you must pay a repair fee.",異なる燃料を入れて車両が故障した場合、修理費用をお支払いいただきます。,if you filled,wrong fuel and,"the vehicle broke, you must",pay a repair fee,sound_phrase_078.mp3,7
79,This is the information of nearest gas station when you return. Please read it.,返却時の最寄スタンドの情報を差し上げますのでご覧ください。,this is the,information of nearest,gas station when you return,please read it,sound_phrase_079.mp3,7
80,"We're trying increase ""No accident continuation days"". Please drive safely.",無事故継続日数の更新にチャレンジしています。どうぞ安全運転でお願いします。,we're trying,"increase ""No accident","continuation days "".Please",drive safely,sound_phrase_080.mp3,8
81,Did you apply compensation system offered by reservation site when you reserve with online?,オンライン予約の際、予約サイトが提供している補償制度に加入しましたか？,did you apply,compensation system offered,by reservation site when,you reserve with online?,sound_phrase_081.mp3,8
82,The basic fee include these coverage.,基本料金の中にはこれらの補償が含まれております。,the,basic fee,include,these coverage,sound_phrase_082.mp3,8
83,"But, it cost  50 thousand yen each as the deductible per a vehicle and property.",ですが車両・対物の免責額としてそれぞれ5万円ずつご負担が生じます。,"but, it cost each",50 thousand yen each,as the deductible per,a vehicle and property,sound_phrase_083.mp3,8
84,"If you purchase the collision damage waiver system, you don't have to pay the deductible.",免責補償制度にご加入いただくと、免責額の支払いは免除されます。,if you purchase the collision,"damage waiver system, you don't",have to pay,the deductible,sound_phrase_084.mp3,8
85,Would you like to apply it?,ご加入はいかが致しましょうか？,would,you,like to,apply it?,sound_phrase_085.mp3,8
86,"If you have accident, you must pay deductible because you don't apply CDW.",免責補償制度は非加入のため、事故発生時は免責額を必ずお支払いいただきます。,if you have,"accident, you must",pay deductible because,you don't apply CDW,sound_phrase_086.mp3,8
87,But you'll be reimbursed it from rental agency because you applied compensation system.,ただし、お客様は補償制度に加入しているため、予約したサイトに問い合わせていただければ返金されます。,but you'll be ,reimbursed it from rental agency,because you,applied compensation system,sound_phrase_087.mp3,8
88,"If you applied NAS plan, the property insurance has become unlimited.",日産安心サポートプランへご加入いただくと対物上限が無制限となります。,"if you applied NAS plan,",the property insurance,has,become unlimited,sound_phrase_088.mp3,8
89,Also maximum of personal injury protection is increasing from thirty million to fifty million.,さらに搭乗者補償も上限3000万円から5000万円へ増額となります。,also maximum of,personal injury protection,is increasing from,thirty million to fifty million,sound_phrase_089.mp3,8
90,"If you're in trouble, we'll refund the charge up to 20 thousand yen on specific cases.",トラブルが生じた際でも特定のケースのみ、最大2万円まで日産レンタカーが返金します。,if you're in,"trouble, we'll refund the",charge up to 20 thousand yen,on specific cases,sound_phrase_090.mp3,8
91,"When your car need to be towed, we'll refund the charge up to 100 thousand yen.",レッカー代の負担が必要になった際、最大10万円まで日産レンタカーが返金します。,when your car need,"to be towed, we'll",refund the charge up,to 100 thousand yen,sound_phrase_091.mp3,8
92,"If these troubles happen, please pay the charge yourself and we will reimburse you.",もしこれらのトラブルが発生したら一旦ご自身で費用を払っていただき、その後返金いたします。,if these troubles,"happens, please pay",the charge yourself,and we will reimburse you,sound_phrase_092.mp3,8
93,We refund the charge in exchange for the receipt when you return to the outlet. ,ご返却の際、領収書と引き換えにかかった費用を返金いたします。,we refund,the charge in exchange for,the receipt when you return,to the outlet,sound_phrase_093.mp3,8
94,"If you call the outlet in advance, excess charge will be free up to one-hour.",事前に店舗へご連絡をいただければ延長料金が1時間までは無料となります。,if you call the outlet,"in advance, excess charge",will be free,up to one-hour,sound_phrase_094.mp3,8
95,You must pay all expenses in any troubles because you don't apply NAS plan.,ＮＡＳは非加入のため、トラブル発生時の費用はすべてお客様にお支払いいただきます。,you must,pay all expenses in,any troubles because you,don't apply NAS plan,sound_phrase_095.mp3,8
96,The NOC stands for Non Operation Charge. It means loss of usage.,ノン・オペレーション・チャージとは休業補償のことでございます。,the NOC stands for,Non Operation Charge,it means,loss of usage,sound_phrase_096.mp3,9
97,You must pay NOC because we couldn't rent a car during repair.,修理している間は車両が使えませんので、お客様には休業補償をお支払いいただきます。,you must,pay NOC because,we couldn't rent a car,during repair,sound_phrase_097.mp3,9
98,You must pay twenty thousand yen if you can drive and return the car.,自走で返却された場合は2万円をお支払いいただきます。,You must pay,twenty thousand yen if,you can drive,and return the car,sound_phrase_098.mp3,9
99,"In an accident, you must pay fifty thousand yen if the car is inoperable.",自走できない場合には5万円をお支払いいただきます。,"in an accident, you",must pay fifty,thousand yen if the car,is inoperable,sound_phrase_099.mp3,9
100,Have you ever drive a car in Japan?,日本で運転したことはございますか？,have you,ever,drive a car,in Japan?,sound_phrase_100.mp3,9
101,"In Japanese law, all passengers have to fasten their seatbelts.",日本の法律では、乗車される方は全てシートベルトの着用が義務付けられています。,"in Japanese law, all",passengers have,to fasten,their seatbelts,sound_phrase_101.mp3,9
102,"In Japan, cars are driven on the left side of the road.",日本では、車は左側通行です。,"in Japan,cars",are driven on,the left side of,the road,sound_phrase_102.mp3,9
103,"It's prohibited to turn left on red, except with green arrow.",また、緑の矢印が同時点灯している場合を除き赤信号での左折は禁止されています。,it's prohibited to,"turn left on red,",except with,green arrow,sound_phrase_103.mp3,9
104,Please observe the speed limit for each roads and drive safely.,それぞれの道路の制限速度に従い、安全運転をお願いします。,please observe the,speed limit,for each roads and,drive safely,sound_phrase_104.mp3,9
105,Please pay attention that some roads are equipped with speed camera.,速度取り締まりカメラが設置されている道路もありますのでご注意下さい。,please pay,attention that some roads,are equipped,with speed camera,sound_phrase_105.mp3,9
106,"Drunk driving is strictly prohibited by law. You may be arrested, if you violated.",飲酒運転は法律により厳しく禁止されております。違反をした場合は逮捕されることもございます。,drunk driving is,strictly prohibited by law,you may be,"arrested, if you violated",sound_phrase_106.mp3,9
107,It is the violation if you use mobile phone while driving.,運転中の携帯電話操作は違反です。,it is the,violation if you,use mobile phone,while driving,sound_phrase_107.mp3,9
108,"If you get in an accident, you must stop driving immediately.",もし事故を起こしたら直ぐに車を停めてください。,if you get in,"an accident, you must",stop driving,immediately,sound_phrase_108.mp3,10
109,"If someone was injured in the accident, you must help them first.",けが人が出た場合にはけが人の救助を最初に行なってください。,if someone was,injured in the,"accident, you must",help them first,sound_phrase_109.mp3,10
110,You have to call the police and the out let.,警察と店舗へ連絡をしなくてはなりません。,you,have to,call the police,and the outlet,sound_phrase_110.mp3,10
111,"In Japan, dial 110 for the police and 119 for an ambulance.",日本では警察は110で 救急車は119です。,"in Japan,dial110",for the police,and 119 for,an ambulance,sound_phrase_111.mp3,10
112,You must call the police and ambulance if anyone is injured.,もしけが人がいる場合は警察、救急車を呼んでください。,you must,call the police and,ambulance if,anyone is injured,sound_phrase_112.mp3,10
113,Please fill out the accident condition in this form when the accident happens.,事故発生時は事故の詳細をこのフォームに記入してください。,please fill out,the accident condition,in this form when,the accident happens,sound_phrase_113.mp3,10
114,"If you didn't report to the police, neither insurance or CDW may not be provided.",警察に連絡をしなかった場合、保険も免責補償も適用されません。,if you didn't report,"to the police, neither",insurance or CDW may,not be provided,sound_phrase_114.mp3,10
115,"If any troubles are happens, please contact the departure outlet.",何らかのトラブルが発生した場合は、出発店舗へご連絡をお願いします。,if any troubles,"are happens, please",contact the,departure outlet,sound_phrase_115.mp3,10
116,"If any troubles are happens, please call this number.",何らかのトラブルが発生した場合は、こちらの連絡先へお電話ください。,if any,troubles are,"happens, please ",call this number,sound_phrase_116.mp3,10
117,"If you have one-car accident, you need to call police and our outlet.",自損事故の場合でも、必ず警察への届出と店舗への連絡を行なってください。,if you have,"one-car accident, you",need to call,police and our outlet,sound_phrase_117.mp3,10
118,"If the vehicle couldn't run by itself due to accident, the contract finished at that time.",自走不可能な事故を起こしてしまった場合、その時点で契約は終了します。,if the vehicle,couldn't run by,"itself due to accident, the contract",finished at that time,sound_phrase_118.mp3,10
119,"If you want to rent again after the accident, please make a new contract.",事故後に再度車を借りるためには新規契約が必要です。,if you want to rent,again after the,"accident, please make",a new contract,sound_phrase_119.mp3,10
120,"Before departure, please read this document explain key points.",この書類は重要事項の説明資料ですので、出発前に読んでください。,"before departure, please",read,this document,explain key points,sound_phrase_120.mp3,11
121,You might pay loss of use when you get scratch or dent such as pictures.,このようなキズを付けてしまった場合、ＮＯＣをいただくことがあります。,you might,pay loss of use when you ,get scratch or,dent such as pictures,sound_phrase_121.mp3,11
122,Such accidents are common for among visitors from abroad.,外国人のお客様による事故はこのような事例が多いですのでご注意ください。,such,accidents are,common for among,visitors from abroad,sound_phrase_122.mp3,11
123,Do you have any questions?,何かご質問はございますか？,do you,have,any,questions?,sound_phrase_123.mp3,11
124,This AGREEEMENT has important information.Please read.,AGREEMENTにはレンタカー利用時の重要な注意点が書かれています。,This,AGREEEMENT has,important,information.Please read,sound_phrase_124.mp3,11
125,Please read it carefully and tick in the box if you agree with each contents.,こちらをよくお読みいただき、各内容に同意いただきましたらチェックを入れてください。,please read it carefully,and tick in the,box if you,agree with each contents,sound_phrase_125.mp3,11
126,This form is for getting contact information of the customer during renting.,このフォームは、レンタカーご利用中にお客様と店舗との間で確実に連絡を取れるようにするためのものです。,this form is for,getting contact information,of the customer,during renting,sound_phrase_126.mp3,11
127,Please write your contact information of accommodation in this sheet.,こちらのシートに宿泊先の連絡先を記入してください。,please write,your contact,information of accommodation,in this sheet,sound_phrase_127.mp3,11
128,This is your bill.,お会計はこちらでございます。（電卓に金額を表示して提示）,this,is,your,bill,sound_phrase_128.mp3,11
129,Your bill is thirty thousand and eight hundred and fifty five yen.,"お会計は30,855円でございます。",your bill is,thirty thousand,and eight hundred,and fifty five yen,sound_phrase_129.mp3,11
130,"How would you like to pay, cash or credit card?",お支払い方法は現金、クレジットカードのどちらになさいますか？,how would,you like ,"to pay,",cash or credit card?,sound_phrase_130.mp3,11
131,We are going to only register your credit card in advance.,事前にクレジットカードの登録のみ行ないます。,we are going,to only register,your credit,card in advance,sound_phrase_131.mp3,12
132,"If you extend the period, your bill might be changed.",契約時の期間を超えてレンタカーを利用されますと合計金額が変わる可能性がございます。,if you extend,"the period, your",bill might,be changed,sound_phrase_132.mp3,12
133,You'll pay the total amount of the bill when you return the car.,ご返却時に料金が確定いたしますのでその際にカード決済をさせていただきます。,you'll pay,the total amount of,the bill when you,return the car,sound_phrase_133.mp3,12
134,We accept payment with non-installment at departure.,出発時に一括で決済をさせていただきます。,we accept,payment with,non-installment at,departure,sound_phrase_134.mp3,12
135,"When extra charge occurs, please pay it at return.",もし追加料金が生じた場合は、返却時にその料金をお支払いいただきます。,when extra charge,"occurs,",please pay it,at return,sound_phrase_135.mp3,12
136,Please check the settlement amount and sign in credit slip.,決済金額をご確認いただき、クレジット伝票にサインをお願いします。,please check,the settlement amount,and sign,in credit slip,sound_phrase_136.mp3,12
137,Here is your change(receipt).,こちらがおつり（領収証）です。,here,is,your,change(receipt),sound_phrase_137.mp3,12
138,This is a deposit receipt. It's mean that we received the charge from you.,これは預かり証です。あなたから現金を受け取ったという意味です。,this is,a deposit receipt,it's mean that we received,the charge from you,sound_phrase_138.mp3,12
139,We don't give a receipt because you have already paid rental fee.,レンタカー代金はすでにお支払い済みですので、店頭では領収証を発行いたしません。,we don't,give a receipt because,you have already,paid rental fee,sound_phrase_139.mp3,12
140,It's sign sheet for rental contract. Please check the exterior of vehicle with using it.,こちらは借受確認書です。こちらを使いながら車両の外装確認をお願いします。,it's sign sheet,for rental contract,please check the exterior,of vehicle with using it,sound_phrase_140.mp3,12
141,"At first, could you write your address and phone number only in this blank?",まずは、こちらの空欄にご住所と電話番号のみをご記入ください。,"at first, could you",write your address and,phone number,only in this blank?,sound_phrase_141.mp3,12
142,Please follow this way and check the vehicle with us.,車両へ案内いたしますのでこちらへお願いします。,please follow,this way and check,the vehicle,with us,sound_phrase_142.mp3,12
143,Other staff lead you to the vehicle. Please follow him(her).,別のスタッフが車両まで案内します。彼（彼女）について行ってください。,other staff lead,you to,to vehicle. Please,follow him(her),sound_phrase_143.mp3,12
144,"Before you departure, please check the exterior of the vehicle with us.",出発前に車両の外装確認を店舗スタッフと共にお願いいたします。,before you,"departure, please check",the exterior of,the vehicle with us,sound_phrase_144.mp3,13
145,"If you agree to important matters of renting a car, please write your name here.",借受時の注意事項に同意の上、こちらに名前の記入をお願い致します。,if you agree,to important matters,"of renting a car, please",write your name here,sound_phrase_145.mp3,13
146,Please be sure to pull a hand brake when you set a destination. ,目的地を設定する時は必ずサイドブレーキをかけてください。,please be,sure to pull,a hand brake when you,set a destination,sound_phrase_146.mp3,13
147,Please refer to this paper how to use GPS.,ナビの使い方についてはこちらの用紙をご覧ください。,please,refer to this paper,how to,use GPS,sound_phrase_147.mp3,13
148,The ETC device is equipped at this position.,ここにETC機器が取り付けられています。,the ETC device,is,equipped,at this position,sound_phrase_148.mp3,13
149,Please check the proper way to insert your ETC card into the ETC device.,ETCカードの挿入方向にご注意ください。,please check the,proper way to insert,your ETC card into,the ETC device,sound_phrase_149.mp3,13
150,The seat can be moved. Please lift under bar or slide the right side button.,運転席シートは下のバーを持ち上げる、または右側についているスイッチをスライドしてください。,the seat can,be moved. Please ,lift under bar or slide,the right side button,sound_phrase_150.mp3,13
151,"When you change angle of side mirror, please slide the knob and push the button.",サイドミラーの角度を変える際は、つまみを切り替えてボタンを押してください。,when you change,"angle of side mirror, please",slide the knob and ,push the button,sound_phrase_151.mp3,13
152,The idling stop system is saving the fuel by stopping the engine automatically.,アイドリングストップ機能は燃料を節約する為に自動的にエンジンを切るものです。,the idling stop system,is saving the fuel,by stopping the engine,automatically,sound_phrase_152.mp3,13
153,It restarts the engine automatically when the driver release the brake or turn the steering wheel.,運転者がブレーキを離したり、ハンドルを操作した際、自動的にエンジンが再スタートします。,it restarts the engine,automatically when,the driver release the brake,or turn the steering wheel,sound_phrase_153.mp3,13
154,"If you want to inactivate the idling stop function, push down this switch.",もし、アイドリングストップ機能を止めたいときは、このスイッチを押してください。,if you want to,inactivate the idling,"stop function, push",down this switch,sound_phrase_154.mp3,13
