id,dialog,dialog_ja,dialog_ans,dialog_ans_ja,wrong_ans1,wrong_ans2,wrong_ans3,ques_file_name,ans_file_name,lesson_id
15,What should I do if I hit animals?,動物とぶつかった場合、どうしたらいいですか？,Please call to police and outlet from the scene.,その場から警察と店舗に届けてください。,Have you ever drive a car in Japan?,There is a manual hot to use GPS in the car. Please have a look it.,It's as partial compensation for loss of use during vehicle repair.,sound_dialog_ques_015.mp3,sound_dialog_ans_015.mp3,2
16,What should I do if there is a scratch without realizing?,知らない間に車にキズが付いていたのですが、どうしたらいいですか？,Please call to police and outlet from the scene.,その場から警察と店舗に届けてください。,Please fill in this blank.,Some credit card can't make payment.,You have to pay the extra charge.,sound_dialog_ques_016.mp3,sound_dialog_ans_016.mp3,2
17,Do I have to pay full repair charge of the vehicle?,車の修理代は全額払わなければなりませんか？,No. You have to pay only deductible.,免責額のみお支払いいただければ結構です。,Only dogs and cats in the cage can ride a specific type of vehicle.,Please return to outlet.,Please fill the fuel at gas station near the outlet.,sound_dialog_ques_017.mp3,sound_dialog_ans_017.mp3,2
18,How long will be take to accident report?,事故報告書の記入にはどのくらいの時間がかかりますか？,It takes about thirty or forty minutes.,約30分から40分ほどかかります。,We'll pick you up. Please wait there.,Let me check the license if it is valid or not.,"If you don't have any fault, you don't need to pay it.",sound_dialog_ques_018.mp3,sound_dialog_ans_018.mp3,2
19,Do you arrange alternative car if the vehicle can't run by itself?,自走不可能の事故を起こしてしまったが、代わりの車を用意してもらえますか？,"We can arrange it, but rental contract is finished and we don't refund the rental fee.",代わりの車を用意することは可能ですが、現在の契約は終了し、返金は発生しません。,Please write down your home number and e-mail address.,The color is black.,You have to pay the remake charge of the key.,sound_dialog_ques_019.mp3,sound_dialog_ans_019.mp3,2
20,What will be happen if I use mobile phone while driving?,もし運転中に携帯電話を使用していたらどうなりますか？,"If you do it, you must pay the fine and it might be occur accident.",運転中に携帯電話を使用していたら罰金を払うことになり、事故にもつながります。,"Please call ""accident reception center"".",It takes about thirty or forty minutes.,Please pull the lever lower right in driver's seat.,sound_dialog_ques_020.mp3,sound_dialog_ans_020.mp3,2
21,"In addition to the basic rental fee, do I need to purchase insurance?",車の基本料金のほかに、保険に加入する必要はありますか？,No.Basic insurance is already included in the basic rental fee.,いいえ。基本料金の中に基本的な保険が含まれています。,There's one just around that corner.,Please use public transport or taxi.,Please fill in the brank.,sound_dialog_ques_021.mp3,sound_dialog_ans_021.mp3,3
22,Do I have to apply compensation system?,補償制度には必ず加入しなくてはなりませんか？,"This is optional system, but we recommend you to apply it for safety.",加入は任意ですが、お客様の安心のために加入をお勧めしております。,There is a manual hot to use GPS in the car. Please have a look it.,Please write down the flight number you will take earlier.,You have to pay the remake charge of the key.,sound_dialog_ques_022.mp3,sound_dialog_ans_022.mp3,3
23,What is the benefit of NAS plan?,日産安心サポートプランの特典は何ですか？,"Increasing maximum limit of compensation and refund of the repair charge,for example,flat tire.",補償上限の増額と、パンク等の修理代返金があります。,It depends on the way you drive.,Please check the insertion orientation of ETC card.,Let me explain how to use it.,sound_dialog_ques_023.mp3,sound_dialog_ans_023.mp3,3
24,What is the Non-operation charge?,ノンオペレーションチャージとは何ですか？,It's as partial compensation for loss of use during vehicle repair.,修理期間中の休業補償の一部です。,Please fill in this blank.,Some credit card can't make payment.,Please pay the toll in cash or credit card.,sound_dialog_ques_024.mp3,sound_dialog_ans_024.mp3,3
25,Can you refund the difference if the repair charge is lower than deductible?,免責代より修理代が安かったら差額は返金されますか？,"We can refund it,but you need to pay the deductible at one point.",差額の返金はいたしますが、一旦は免責代をお支払いいただきます。,We'll pick you up. Please wait there.,You have to pay the remake charge of the key.,You can get it at only designated institution in each countries.,sound_dialog_ques_025.mp3,sound_dialog_ans_025.mp3,3
26,Let me show the breakdown for 100(150) thousand yen as deductible.,免責額10(15)万円の内訳を提示してください。,"50 thousand yen is for property, and 50(100) thousand yen is for vehicle.",対物免責額として5万円、車両免責額として5(10)万円です。,"At first, you have to rescue the injured and call police and outlet.",I recommend Ueno Zoo.,Please set with the knob or button.,sound_dialog_ques_026.mp3,sound_dialog_ans_026.mp3,3
27,Can I apply coverage system after departure?,出発後に補償制度に加入することはできますか？,"After departure, you can't apply it.",出発後に補償制度へ追加加入することはできません。,Let me check if we can provide it.,Please use public transport or taxi from the scene.,You have to pay the fine.,sound_dialog_ques_027.mp3,sound_dialog_ans_027.mp3,3
28,Is there any fine for not fast seatbelts?,もしシートベルトを装着していなかったら、反則金はありますか？,"You don't need to pay it, but please fasten seatbelts for safety of all passengers.",反則金の支払いはありませんが、乗車している方の安全を守るためにも必ず着用してください。,You have to pay the drop-off fee based on the distance.,"At returning, you need to pay illegal parking penalty.",Please pay attention not to forget anything.,sound_dialog_ques_028.mp3,sound_dialog_ans_028.mp3,3
29,"What is ""class up""?",クラスアップとはどういう意味ですか？,We offer upper class of vehicle with same rental fee and condition.,レンタル料金が同じのまま、車両クラスが上位クラスになることです。,No.Basic insurance is already included in the basic rental fee.,Please check the insertion orientation of ETC card.,Let me throw it instead.,sound_dialog_ques_029.mp3,sound_dialog_ans_029.mp3,3
30,Where should I fill up the fuel?,どこで満タンにすればいいですか？,Please fill the fuel at gas station near the outlet.,返却店舗の近くにあるガソリンスタンドで満タンにしてください。,"Please call ""accident reception center"".",No. You have to pay only deductible.,"This is optional system, but we recommend you to apply it for safety.",sound_dialog_ques_030.mp3,sound_dialog_ans_030.mp3,3
31,How much the fuel charge per liter?,燃料はリッターいくらですか？,The average price is 125yen. It might be differ from day to day.,平均は125円です。日によって異なることがあります。,Please fill in this blank.,Let me check the license if it is valid or not.,"Here is your change, 150yen.",sound_dialog_ques_031.mp3,sound_dialog_ans_031.mp3,4
32,What kind of fuel should I fill up?,どの種類の燃料を入れればいいですか？,Please fill up with regular gasoline(premium/light oil).,レギュラー（ハイオク／軽油）を入れてください。,We don't rent Wi-Fi device.,It depends on the way you drive.,"After departure, you can't apply it.",sound_dialog_ques_032.mp3,sound_dialog_ans_032.mp3,4
33,"If I fill the wrong fuel, what is happen?",違う油種を入れてしまうとどうなりますか？,"It cause trouble and the car doesn't move by itself. Also, you must pay NOC.",故障もしくは走行不可能になり、休業補償料をご負担いただきます。,Let me check the license if it is valid or not.,Using highway is useful.,"We can arrange it, but rental contract is finished and we don't refund the rental fee.",sound_dialog_ques_033.mp3,sound_dialog_ans_033.mp3,4
34,What will be happen if I didn't fill up the fuel and return the outlet?,燃料を満タンにせずに返却したらどうなりますか？,Please pay the fuel charge calculated according to the distance driven.,走行距離に応じた燃料代をお支払いください。,There is under the trunk space.,It takes about thirty or forty minutes.,An extension charge will occur per 1 hour and change depends on type of vehicle.,sound_dialog_ques_034.mp3,sound_dialog_ans_034.mp3,4
35,How do you calculate fuel charge?,燃料代はどのように計算していますか？,We calculate fuel charge based on the distance driven.,弊社では走行距離に応じた燃料代を算出しています。,"If you don't have an address in Japan, you can't apply it.",Only dogs and cats in the cage can ride a specific type of vehicle.,"We can refund it,but you need to pay the deductible at one point.",sound_dialog_ques_035.mp3,sound_dialog_ans_035.mp3,4
36,How do you calculate the fuel charge?,燃料代はどのように計算していますか？,We calculate 15yen per one kilometer on this type of vehicle.,この車種は１キロ当たり15円で計算しています。,"We're sorry, but you can't do it.",Please contact the website where you made reservation by yourself.,You must pay twenty thousand yen if you can drive and return the car.,sound_dialog_ques_036.mp3,sound_dialog_ans_036.mp3,4
37,How much the fine of illegal parking if I go to the police?,警察に出頭したら駐車違反の違反金はいくらかかりますか？,It will be change depends on the large of car and where you have parked.,車の大きさ、駐停車場所によって異なります。,I can't know how to make a call.,Because you don't meet necessary requirements.,"If you don't have original IDP, we can't rent a car or you.",sound_dialog_ques_037.mp3,sound_dialog_ans_037.mp3,4
38,What will be happen if I didn't pay the fine of illegal parking?,もし駐車違反の違反金を払わなかったらどうなりますか？,"At returning, you need to pay illegal parking penalty.",返却時に駐車違反違約金をお支払いいただきます。,No. We are prohibited by road transport law.,Please let me know how enunciation your name.,Please do not settle privately.,sound_dialog_ques_038.mp3,sound_dialog_ans_038.mp3,4
39,Do you refund the illegal parking penalty?,支払った駐車違反違約金は返金されますか？,"If we can check you've pay the fine,we refund the illegal parking penalty.",駐車違反の違反金納付が確認されれば返金いたします。,You are not allowed to drive a car in Japan.,It might be differ from day to day.,Some credit card can't make payment.,sound_dialog_ques_039.mp3,sound_dialog_ans_039.mp3,4
40,"Which meaning the sign on highway such as 80 shows, minimum or maximum?",高速道路の80という標識は、最低もしくは最高速度のどちらの意味ですか？,It shows maximum speed.,最高速度を表しています。,Could you describe it?,"In Japan, cars are driven on the left side of the road.","As a rule, please pay it at the time of departure.",sound_dialog_ques_040.mp3,sound_dialog_ans_040.mp3,4
41,When do I pay the charge?,料金はいつ支払えばいいですか？,"As a rule, please pay it at the time of departure.",原則として、料金は出発時にお支払いください。,"You don't need to pay it, but please fasten seatbelts for safety of all passengers.",It is the violation if you use mobile phone while driving.,You have to pay the drop-off fee based on the distance.,sound_dialog_ques_041.mp3,sound_dialog_ans_041.mp3,5
42,What is required for renting a car?,レンタカーを借りるのに何が必要ですか？,"At first, you need to have passport and valid Driver's License in Japan.",まずはパスポートと日本で有効な運転免許証が必要です。,A yellow rectangular sticker is a ticket for illegal parking.,"We're sorry, but we're not sure.",We calculate 15yen per one kilometer on this type of vehicle.,sound_dialog_ques_042.mp3,sound_dialog_ans_042.mp3,5
43,Can I try if baggage could road in the car?,荷物が車に載るかどうか試してもいいですか？,Sure. I lead you to the vehicle.,どうぞ。車までご案内します。,Please return the car on previous day within business hour.,"If you do it, you must pay the fine and it might be occur accident.",Yes. You can borrow it for free.,sound_dialog_ques_043.mp3,sound_dialog_ans_043.mp3,5
44,Can I rent bigger(smaller) car?,より大きい(小さい)車種はありますか？,Let me check if we can provide it.,可能かどうか確認します。,This car is SERENA.,We offer upper class of vehicle with same rental fee and condition.,"If you don't have an address in Japan, you can't apply it.",sound_dialog_ques_044.mp3,sound_dialog_ans_044.mp3,5
45,How old does children need a child seat?,チャイルドシートは何歳まで必要ですか？,A child under the age of 6 must be seated a child seat.,6歳未満のお子様は着用が義務付けられています。,The compensation system is not applicable and you have to pay total repair charge.,Please pay the toll charge when you return to the outlet.,Please fill the fuel at gas station near the outlet.,sound_dialog_ques_045.mp3,sound_dialog_ans_045.mp3,5
46,Can I rent a car with my pet?,ペットを連れて借りることはできますか？,You can drive a car with your pet if you have necessary requirements.,条件を満たしていれば可能です。,Please return to outlet.,"Please call ""accident reception center"".",No pets are allowed in this shop.,sound_dialog_ques_046.mp3,sound_dialog_ans_046.mp3,5
47,How much the snow tire for per one day?,スタッドレスタイヤの一日あたりの追加料金はいくらですか？,"Please pay 1500 yen without tax per one day./In this outlet, it's free.",一日あたり税抜きで1500円です。／こちらの店舗では無料です。,"This way, please.",There's one near the entrance.,It takes about 30 minutes.,sound_dialog_ques_047.mp3,sound_dialog_ans_047.mp3,5
48,How much the toll?,高速代はどのくらいかかりますか？,It depends on the way you drive.,走行ルートによって変わります。,"Yes, but please let me know information of driving license in advance.",An extension charge will occur per 1 hour and change depends on type of vehicle.,Please ask the police to arrange towing.,sound_dialog_ques_048.mp3,sound_dialog_ans_048.mp3,5
49,I filled up on the way. What should I do final payment?,利用途中で一度給油しましたが最後の支払いはどうしたらいいですか？,We calculate fuel charge with you're driven distance and deduct the charge you've filled.,走行距離で精算し、給油分を差し引いて計算します。,Please call to police and outlet from the scene.,"We can refund it,but you need to pay the deductible at one point.",Please pay it in advance.,sound_dialog_ques_049.mp3,sound_dialog_ans_049.mp3,5
50,When should I pay the charge of ETC card?,いつ、ETCカードの利用代を払えばいいですか？,Please pay it at departure(returning).,出発（返却）時に支払いをお願い致します。,"Now, you are in here.",Please be sure to pull a hand brake when you set a destination. ,"Increasing maximum limit of compensation and refund of the repair charge,for example,flat tire.",sound_dialog_ques_050.mp3,sound_dialog_ans_050.mp3,5
51,How should I pay the toll without using ETC card?,ETCカードを使わない場合、通行料金の支払い方法はどのようになりますか？,Please pay the toll in cash or credit card.,現金もしくはクレジットカードで精算してください。,We make payment with non-installment at departure.,"I will ask you some questions, please answer YES or NO.",Using highway is useful.,sound_dialog_ques_051.mp3,sound_dialog_ans_051.mp3,6
52,Where can I buy ETC card?,ETCカードはどこで入手できますか？,You can't buy ETC card.,ETCカードを購入することはできません。,Right(Left) side.,Please fill up with regular gasoline(premium/light oil).,"If we can check you've pay the fine,we refund the illegal parking penalty.",sound_dialog_ques_052.mp3,sound_dialog_ans_052.mp3,6
53,Is it possible other persons drive a car besides me? ,私以外の人が運転することは可能ですか？,"Yes, but please let me know information of driving license in advance.",運転は可能ですが、事前に免許証の内容を教えてください。,"If you do it, you must pay the fine and it might be occur accident.",I think you should call them right now.,"If you have enough time, please take the train.",sound_dialog_ques_053.mp3,sound_dialog_ans_053.mp3,6
54,Does any extra charge will happen if we have several drivers?,ドライバーが複数いる場合、追加料金は発生しますか？,You don't need to pay it.,支払う必要はありません。,You can tell the kind of fuel by the color of nozzle.,You must call the police and ambulance if anyone is injured.,"If you don't mind, please use my pen.",sound_dialog_ques_054.mp3,sound_dialog_ans_054.mp3,6
55,What should I do if departure time is earlier than business hour?,開店前に出発する便なのですが、どうしたらいいですか？,Please return the car on previous day within business hour.,前日の営業時間内にご返却ください。,We calculate fuel charge based on the distance driven.,I'll show you around the city.,"We're sorry, your driving license isn't valid in Japan.",sound_dialog_ques_055.mp3,sound_dialog_ans_055.mp3,6
56,Can I rent a car if I have an international driving permit?,国際免許証があれば運転できますか？,You can drive a car in Japan if you have necessary requirements.,必要な条件を満たしていれば日本国内での運転が可能です。,We hope you'll enjoy it.,How can I help you?,Please contact the website where you made reservation by yourself.,sound_dialog_ques_056.mp3,sound_dialog_ans_056.mp3,6
57,Where can I get an International driving permit?,国際免許証はどこで発行することができますか？,You can get it at only designated institution in each countries.,各国の指定機関でのみ発行可能です。,Please wait about 10 minutes.,"Please pay 1500 yen without tax per one day./In this outlet, it's free.",There's a tourist information office over there.,sound_dialog_ques_057.mp3,sound_dialog_ans_057.mp3,6
58,Where can I get the Japanese translation?,日本語の翻訳文はどこで手に入りますか？,"You can get it at each country's embassy/consulate in Japan, or JAF.",JAF・各国の在日大使館・領事館で発行できます。,Let me throw it instead.,I will connect you to a translator. Please wait.,We don't have area in the outlet.,sound_dialog_ques_058.mp3,sound_dialog_ans_058.mp3,6
59,I forgot bring IDP. Can I rent a car if I show the picture of it?,免許証の原本を忘れてしまったのですが、画像を見せれば借りることはできますか？,"If you don't have original IDP, we can't rent a car or you.",原本が無ければ貸し出すことはできません。,It's as partial compensation for loss of use during vehicle repair.,Using highway is useful.,It can get fifteen kilometers to a liter.,sound_dialog_ques_059.mp3,sound_dialog_ans_059.mp3,6
60,Why I can't rent a car from your company?,なぜ車を借りることができないのですか？,Because you don't meet necessary requirements.,日本の法律で定められている基準を満たしていないためです。,Please write down with English.,Did you pay the fine before returning?,"Because of extending period, you have to pay extra charge.",sound_dialog_ques_060.mp3,sound_dialog_ans_060.mp3,6
61,Which language do I write down?,どの言語で書いたらいいですか？,Please write down with English.,英語でお願いします。,No. We are prohibited by road transport law.,It takes about twenty minutes.,We make payment with non-installment at departure.,sound_dialog_ques_061.mp3,sound_dialog_ans_061.mp3,7
62,Which address should I write down here?,この部分にはどの住所を書けばいいですか？,Please write down your address in your country.,自国の住所を記入してください。,"We're sorry, but you can't do it.","At first, you have to rescue the injured and call police and outlet.",We calculate 15yen per one kilometer on this type of vehicle.,sound_dialog_ques_062.mp3,sound_dialog_ans_062.mp3,7
63,What should I do if I don't have contactable phone number?,連絡可能な電話番号が無いがどうしたらいいですか？,Please write down your home number and e-mail address.,自国の電話番号とメールアドレスを記入してください。,You have to pay the drop-off fee based on the distance.,You can drive a car with your pet if you have necessary requirements.,"After departure, you can't apply it.",sound_dialog_ques_063.mp3,sound_dialog_ans_063.mp3,7
64,"Which flight number should I write down, domestic or international flight?",国内便と国際便はどちらを書いたほうがいいですか？,Please write down the flight number you will take earlier.,先に搭乗予定の便名を記入してください。,We will reimbursed the charges which you have paid.,We are looking forward to serving you again.,"At returning, you need to pay illegal parking penalty.",sound_dialog_ques_064.mp3,sound_dialog_ans_064.mp3,7
65,Where do I sign?,サインはどこにすればいいですか？,Please fill in this blank.,この枠内に記入してください。,Please return to outlet.,We don't rent Wi-Fi device.,Please fill up with regular gasoline(premium/light oil).,sound_dialog_ques_065.mp3,sound_dialog_ans_065.mp3,7
66,Can I apply the member of 23 bonus club？,23BCの会員になることはできますか？,"If you don't have an address in Japan, you can't apply it.",日本に住所が無ければ入会することはできません。,A child under the age of 6 must be seated a child seat.,"This way, please.",You can't buy ETC card.,sound_dialog_ques_066.mp3,sound_dialog_ans_066.mp3,7
67,What should I do if I don't know how to use GPS?,カーナビの操作方法が分からないときはどうしたらいいですか？,There is a manual hot to use GPS in the car. Please have a look it.,車内にカーナビ操作マニュアルがありますのでご覧ください。,"If you do it, you must pay the fine and it might be occur accident.",Please pay the toll in cash or credit card.,There is a scratch on this vehicle.,sound_dialog_ques_067.mp3,sound_dialog_ans_067.mp3,7
68,Is there ETC equipped in the car?,車にETCは搭載されていますか？,Only ETC device is equipped. Please prepare an ETC card by yourself.,ETC車載器は搭載されていますが、ETCカードはお客様ご自身でご用意ください。,It's about one point eight meters.,I recommend Ueno Zoo.,We calculate fuel charge with you're driven distance and deduct the charge you've filled.,sound_dialog_ques_068.mp3,sound_dialog_ans_068.mp3,7
69,Where is the spare tire?,スペアタイヤはどこにありますか？,There is under the trunk space.,トランクスペース下に保管しています。,Some credit card can't make payment.,Please pay the toll charge when you return to the outlet.,Please pay the illegal parking penalty.,sound_dialog_ques_069.mp3,sound_dialog_ans_069.mp3,7
70,How can I open a hood?,ボンネットはどうやって開けるのですか？,Please pull the lever lower right in driver's seat.,運転席右下のレバーを手前に引きます。,"If we can check you've pay the fine,we refund the illegal parking penalty.",Could you pass the phone to Japanese?,We calculate 15yen per one kilometer on this type of vehicle.,sound_dialog_ques_070.mp3,sound_dialog_ans_070.mp3,7
71,What should I do if the battery of key run down?,インテリジェントキーの電池が切れてしまったらどうしたらいいですか？,We're sorry. Please change button battery by youself.We refund the charge at returning.,申し訳ありませんが、ご自身で電池交換をしてください。費用は返却時に返金します。,We offer upper class of vehicle with same rental fee and condition.,"You can get it at each country's embassy/consulate in Japan, or JAF.",The NOC stands for Non Operation Charge. It means loss of usage.,sound_dialog_ques_071.mp3,sound_dialog_ans_071.mp3,8
72,How do I open the fill opening?,給油口はどうやって開けるのですか？,Please pull the lever lower right in driver's seat or push the fill opening.,運転席右下のレバーを手前に引くか、フタを一度押すと開けることができます。,You can get it at only designated institution in each countries.,"Please pay 1500 yen without tax per one day./In this outlet, it's free.","In this outlet, it's free.",sound_dialog_ques_072.mp3,sound_dialog_ans_072.mp3,8
73,How long does the car can be driven with just one filling up?,この車は１回の給油でどのくらい走行できますか？,"Ordinary, you can drive 400km, but it might be change the way you drive.",通常400km走ることができますが、運転の仕方で変わります。,Please be sure to pull a hand brake when you set a destination. ,Please tell date and time you'll return to outlet because you must write accident report.,It will be change depends on the large of car and where you have parked.,sound_dialog_ques_073.mp3,sound_dialog_ans_073.mp3,8
74,"Which side the fill opening is, right or left?",給油口は左右どちらに付いていますか？,Right(Left) side.,右（左）側です。,Please write down your address in your country.,It's as partial compensation for loss of use during vehicle repair.,Let me know your address. We send it carriage forward.,sound_dialog_ques_074.mp3,sound_dialog_ans_074.mp3,8
75,How do I open the trunk?,トランクはどうやって開けるのですか？,Please operate it like this way.,こちらをこのように操作してください。,"If you don't have any fault, you don't need to pay it.","We can refund it,but you need to pay the deductible at one point.",Please make sure not to forget anything.,sound_dialog_ques_075.mp3,sound_dialog_ans_075.mp3,8
76,How do I adjust the temperature of air condition?,エアコンの温度はどうやって調整するのですか？,Please set with the knob or button.,つまみ、もしくはボタンで調整してください。,"This is optional system, but we recommend you to apply it for safety.",It may cause accident if you use the ETC lane.,Left side.,sound_dialog_ques_076.mp3,sound_dialog_ans_076.mp3,8
77,We can't load all luggage. What should I do?,トランクに荷物が載りきらないのですがどうしたらいいですか？,Please make the rear seats to other arrangement.,後部座席のシートを違う配置に変えてください。,Because you don't meet necessary requirements.,We don't have area in the outlet.,"After departure, you can't apply it.",sound_dialog_ques_077.mp3,sound_dialog_ans_077.mp3,8
78,Can I watch the television while driving?,運転中にテレビを見ることができますか？,"For your safety, you can't watch it during driving.",安全上、走行中はテレビを見ることができません。,This car is SERENA.,"Yes, but please let me know information of driving license in advance.",Using highway is useful.,sound_dialog_ques_078.mp3,sound_dialog_ans_078.mp3,8
79,I inserted an ETC card but it doesn't work.,ETCカードを挿入したがカードが認識されません。,Please check the insertion orientation of ETC card.,カード挿入方向をご確認ください。,"Now, you are in here.",The compensation system is not applicable and you have to pay total repair charge.,"This is optional system, but we recommend you to apply it for safety.",sound_dialog_ques_079.mp3,sound_dialog_ans_079.mp3,8
80,How is the mileage of this vehicle?,この車の燃費はいくつですか？,It can get fifteen kilometers to a liter.,1リットルあたり、約15kmです。,Sure. I lead you to the vehicle.,"If they're too large, they can't be loaded.",It shows maximum speed.,sound_dialog_ques_080.mp3,sound_dialog_ans_080.mp3,8
81,I've got to counter.,（電話にて）カウンターに着きました。,We'll pick you up. Please wait there.,これからお迎えに参ります。その場でお待ちください。,"I will ask you some questions, please answer YES or NO.",Please tell date and time you'll return to outlet because you must write accident report.,Please call to police and outlet from the scene.,sound_dialog_ques_081.mp3,sound_dialog_ans_081.mp3,9
82,What is the name of car?,車の名前は何ですか？,This car is SERENA.,これはセレナという車です。,Because you don't meet necessary requirements.,Could you describe it?,Please let me know how enunciation your name.,sound_dialog_ques_082.mp3,sound_dialog_ans_082.mp3,9
83,What is the color of the vehicle?,車の色は何色ですか？,The color is black.,車の色は黒です。,"If you don't have any fault, you don't need to pay it.",It takes about twenty minutes.,This car is SERENA.,sound_dialog_ques_083.mp3,sound_dialog_ans_083.mp3,9
84,Where is the restroom?,トイレはどこですか？,"This way, please.",こちら（あちら）へどうぞ。,"You don't need to pay it, but please fasten seatbelts for safety of all passengers.",The Road Traffic Act prohibits parking in certain areas.,Here is your change.,sound_dialog_ques_084.mp3,sound_dialog_ans_084.mp3,9
85,How is the weather?,天気はどうですか？,It'll be sunny(cloudy/rainy)today.(tomorrow).,今日(明日)は晴れ（曇り・雨）の予想です。,Please write down your address in your country.,Let me do that for you.,There are three type of fuel.,sound_dialog_ques_085.mp3,sound_dialog_ans_085.mp3,9
86,Where should I throw a trash?,ごみはどこに捨てたらいいですか？,Let me throw it instead.,代わりに処分します。,A yellow rectangular sticker is a ticket for illegal parking.,It depends on the traffic.,An English-speaker will call you back.,sound_dialog_ques_086.mp3,sound_dialog_ans_086.mp3,9
87,Can I rent Wi-Fi device?,レンタルWIFIはありますか？,We don't rent Wi-Fi device.,貸し出しは行なっていません。,Please wait about 10 minutes.,I recommend Ueno Zoo.,Does anyone injured?,sound_dialog_ques_087.mp3,sound_dialog_ans_087.mp3,9
